rank,user,Q2,Q3,Q4
3,saigogineni,,2072329667,
32,shvngishrma,2072333108,,
44,theselenophile,2072331692,,
45,jayantchoudhary29,2072324792,2072321869,2072356193
55,hemaurya123,2072345674,,
65,pgrharshini,2072341564,2072346888,2072365693
70,Ishita1604,2072333613,,
95,sumana_gudivada,,2072362812,2072373756
96,Sahana_1811,2072359967,,
149,utkarsh_anand20,2072329924,2072347719,2072373472
165,divya_dpsc,2072357313,2072364765,2072376378
190,Crazy_Xyz,,2072348276,
207,Mazga,2072344960,2072358034,2072368862
273,IO1fNVhlIY,,2072394847,
277,Parneet122,,,2072409200
310,Keshav_Raheja,2072362513,2072396218,
327,Nirav_27,,2072403380,2072416324
346,beki_Tila,,2072389367,
368,Namanbanjara,2072373772,2072395501,
369,goku_16032,,,2072393386
405,coder_gaurav1,,2072361952,2072385617
413,krishan3097,,2072401944,2072414864
441,Pranshu_Nigam,,,2072430861
456,omgomji,,2072414403,
466,pavanisk_067,,2072416735,
469,itsmekrishna,2072343112,2072371597,
491,DevGamesdtn,,,2072434876
506,user9895Gf,2072382828,,2072436364
547,DhruviiBhandari,2072369761,2072392820,2072402171
581,aman330,2072375957,2072431209,2072408103
593,i8isurya,,,2072419901
619,Mohit2023Leet,,,2072446155
623,Ruchithra_s,,2072420031,2072435119
730,kavyasri2007,2072336550,,
734,VVQfJJi5NW,2072407518,2072439639,2072455843
812,bhvyvrma,2072427792,2072437568,
906,anoushka_245,2072432029,2072442872,2072459219
933,960814_,2072341790,,
969,anuragravi,2072363166,,
981,himu-26,2072440608,2072387852,2072444266
982,nandiiinigangwar,,,2072455444
1041,amitksingh_mnnit,,2072417905,
1054,KonaVamsiKrishna,,2072400592,
1057,piyush24__,,2072388491,2072413573
1151,utkarshjain45,,,2072475844
1158,alexandrusene,,,2072466683
1164,veteran_hawk,,,2072476839
1226,FirstException,,,2072470683
1238,Ayushmaan22,,,2072481055
1308,chaitanya_kumariii,2072441207,2072445667,2072484905
1376,KrishRaj2005,,2072400557,2072488666
1404,EZNkA4bwxa,,2072486198,2072498661
1465,ShaliniThambutuku,,,2072492741
1510,UrbanTurban,,,2072486092
1527,_sajidkhan,2072367892,,
1530,ujjwaljain14,,,2072496455
1537,Lyney,,,2072505238
1555,anubhav121999,,,2072479591
1557,adarshpandey23045003,2072391303,2072454196,2072506341
1596,Nyx45,,,2072482772
1597,AkshitPareek2004,,,2072443309
1598,Kushal25Gupta,,,2072500761
1607,yashverma_963,2072360953,2072390153,2072509570
1616,ankurbhambri,2072502608,2072505448,2072509866
1622,vishaal_pillay,2072425227,,
1637,aayushfarkya1008,,2072463821,2072399813
1652,optimax123,,,2072494471
1682,shambhavi96,2072504999,2072335085,2072346455
1715,arjun586,2072420157,2072447018,2072515215
1724,akshaypal_bishnoi,2072365446,,
1733,mastermanny,2072389336,,
1773,KT_07,,,2072492609
1807,Offlogic,2072470434,2072476238,
1811,TANISHKA_M845,2072416887,,
1837,meet_zadafiya,,2072469315,2072477552
1867,SniperXyZ,,,2072522424
1868,romson_2,,,2072478796
1876,dracarys_deepanshu,,2072455137,2072469499
1958,gentlewithanirban,2072467583,,2072511367
1969,D4rk_V0id,,,2072512048
1979,darshant12,2072350097,,
1993,Khushi_Kumari2006,,,2072496365
2047,RakeshRKK,,,2072482655
2049,alam_parvej,2072428042,,2072517502
2067,SuhailSharieff786,,,2072510185
2079,0056harshit_gupta,,,2072502738
2095,amish04,,,2072520574
2108,Sumeet_MNNIT,,2072436623,
2127,shikarishambhi,2072461306,2072514458,2072502550
2165,riya-kachere,,2072468764,
2229,surajsingh095z,2072458659,,
2236,mahek11singh,,2072521795,2072481898
2256,Nakul2002,,,2072508367
2307,Saideep_29032993,,2072392693,2072472627
2323,silverfang9153,,2072419471,
2339,ma_nikanta,,,2072494082
2359,palak_gangwar,2072355041,,2072402859
2360,gayatri2219,2072429076,,
2361,Sach_in_07,,,2072432549
2376,ad31052005,2072375977,,2072427809
2384,Gg_redoc,,,2072460368
2390,manavsachdeva,,,2072469108
2391,Poojitha-1266,,,2072460604
2402,Manojkumar422228,,,2072465431
2436,surya_nithesh_3102,,,2072491443
2437,nikshrma,2072495209,,
2438,dharshan188,2072384884,,
2446,reallyannoyed,,,2072431905
2468,hshahjalalRaniaz,2072489085,,2072522874
2502,hardeepsingh04,,,2072521624
2515,S_Lalithaditya,,2072326849,
2526,Abhinaya_Reddy98,2072328893,2072335153,
2537,Ciphergeek,,2072333379,
2583,AnushkaG04,,2072350396,
2584,lewdSage,2072331092,2072350466,
2585,astitvabandil,2072337674,,
2604,_anupamm1103_,,2072353068,
2615,telestra_07,2072328386,2072339411,
2623,zMYyhORRMr,,2072357171,
2627,Sheikh_abhi,2072352914,,
2641,Ankitjain9696,2072333548,,
2653,AnshGupta397,,2072360132,
2654,herleetcode,2072338834,2072343798,
2681,Hema_Manoj,2072341896,,
2700,prajjwalvajpayee12,2072334872,,
2729,yashushakya,2072350290,,
2730,anandnakum11,2072325469,2072368917,
2732,Yeruva_Sanjana_Reddy,2072355988,2072368970,
2740,Ramnik_Parmar,2072329038,2072369196,
2798,shrey_sri,,2072372634,
2802,Tejaswi_0507,2072326898,2072356508,
2848,alokg_812,2072339776,2072375837,
2850,SaiManideep_70,,2072376168,
2885,NANDHINISABARATHINAM,,2072378713,
2891,ape88,2072356026,,
2895,uditpadhan98,2072363186,2072379428,
2989,VaiRaagii,2072358264,2072385580,
3002,1608sarthak,2072340958,2072386998,
3004,dev-112,,2072387137,
3055,adityacodera123,,2072374845,
3086,Anish_41338,,2072343446,
3110,Shivanshu1512,2072347950,2072377365,
3147,Namanjr_333,,2072394779,
3148,tushar1651,,2072394849,
3230,anuanu0_0,,2072383844,
3234,Darth_Vader_01,2072376877,,
3278,AshishRanjan21234,,2072386041,
3295,Dofi222,2072340079,,
3320,varsha_2007,2072361958,2072402637,
3346,tK_tanishq,,2072374564,
3403,e_varshith,,2072406854,
3431,Mittal_Kakul_14,,2072378998,
3441,itz_mohit07,,2072394157,
3446,aaditsarhadi,2072366898,2072394456,
3473,Devraj_Singh_65,2072375368,,
3494,amgovind,,2072410205,
3504,KRLN-8124,,2072382084,
3523,Rithika_1703,2072351575,,
3549,Conquistador17,,2072398579,
3605,AkashSarkar007,2072355892,2072400355,
3609,kit2824bcb37,2072379604,2072400440,
3638,EhvSliDUJA,2072378982,2072401505,
3683,sanvi_nahar,2072370067,2072389239,
3720,charanxn,2072362827,2072405180,
3804,prince-kr-leetcode,2072347771,,
3923,11AD12,,2072412868,
3948,Het900,,2072413719,
3966,shivam__1805,,2072400758,
3970,Kumar_Vanshaj,,2072414406,
4001,vaswanivijay890,,2072428237,
4012,chaitanyauniyal70,,2072415897,
4024,_jaynegi_,,2072416191,
4040,PG_2409,,2072403263,
4052,suraj227,,2072403487,
4066,KartikeyAgrawal,2072382648,,
4080,Ahmed__Rabee3,,2072390185,
4106,PriyankaChakraborty,,2072418714,
4198,AlgoSage_69,,2072421268,
4215,avtrit_g,,2072421720,
4292,xxxykkk,2072397058,2072373429,
4295,MeetMRP,,2072436165,
4365,ivhdam,2072384243,2072399516,
4454,kanchan_06309,2072417147,2072428583,
4470,Gajendra_11,,2072416197,
4471,AdarshBanka,,2072440736,
4508,demoai,2072385742,2072417192,
4547,Mayank-05-old,2072381388,2072442592,
4555,avtanshtripathi885,2072420943,2072442873,
4580,Henzs9017,2072418303,,
4598,Shyam_Raiyani,2072361721,,
4618,arpit1021-ux,2072374993,,
4621,Srikar_Guda,2072392541,2072407615,
4657,Ratul2003,,2072445945,
4660,anand_kumar8804,2072335301,2072434611,
4672,barsha_3690,2072385788,,
4678,Amruta-16_06,2072440563,,
4697,dadilwarvn4447,,2072423252,
4716,Vaidik_Akhre,,2072437476,
4771,nehin17,2072376292,,
4778,megumi9,,2072448569,
4841,abhinav_7615,,2072438912,
4857,m_bhavyaa,,2072401092,
4863,Prashantvk_18,,2072414623,
4940,mineshshaw,2072359295,,
4949,Shaik_Muqeeth,2072395854,,
5004,Faraz_Akhtar,2072441695,,
5006,AnilBishnoi,,2072418935,
5027,tlADp7V6tH,,2072419479,
5040,RKcoder1208,2072427424,,
5062,dishantdhyani03,2072414484,2072444483,
5066,Ayush0859,,2072444507,
5085,Rajat2626,,2072445029,
5101,void_harsh123,2072410096,,
5110,salonii_07,2072364888,2072433978,
5121,katiyar-saksham,,2072445582,
5171,shishir02,,2072457534,
5234,avisek338,2072363909,,
5241,0794_raunak,2072380090,,
5254,gpta_me,,2072459470,
5261,tanishqtayade,2072375541,,
5282,Hritviz_Manral09,,2072413259,
5286,anshmishraa,,2072413438,
5307,Abhishek_kr01,2072361182,,
5315,Aditya_57,2072437296,2072460909,
5343,yash4428,,2072461567,
5347,NpK5PnsEnR,2072428886,2072451156,
5369,vivek124680,2072350425,2072440506,
5375,gokul122psna,2072376750,,
5391,x03tanuj,,2072452183,
5406,siddharthreddygogula123,,2072417110,
5431,RishabhDotIn,2072349556,,
5438,Tanushka1605,2072371480,2072404384,
5468,Viv3k_Kumar_Singh,,2072453891,
5471,ihOx33T9Fm,,2072453913,
5480,HardikRunwal,,2072397580,
5566,Jadeja_008,,2072455729,
5637,RAJMODI340,,2072457247,
5664,Moksh_Kasture,,2072457824,
5671,AryanXSoul,,2072457941,
5677,1234__5,2072448449,2072458180,
5689,trishu99,2072410878,,
5718,cp_clutch03,2072436850,,
5747,kush-kumar,,2072425688,
5770,GiggleByte,2072396143,2072449440,
5853,anonymous_51,,2072440501,
5855,diyarsharma12,,2072428743,
5859,vedantshingote11,,2072428901,
5886,khanasifhere,2072368813,,
5888,BhumiBaldwa,,2072472900,
5905,vedant_7115,2072441721,2072452855,
5933,rish_6392,,2072453696,
5937,TanmayChandani,2072464110,2072458721,
5949,SachiRao,,2072418884,
5996,shindesahil61,2072391731,,
6006,Aahan095,2072452780,2072475849,
6018,Harleen_Singh_,2072455440,2072476022,
6074,Shreyans_31,,2072466967,
6078,nerfEm,,2072446038,
6085,Gupta_Vimal,,2072446219,
6096,shourya45,2072446613,,
6102,SHIVAM_RAY,,2072477594,
6103,manavmarmat1,,2072467714,
6115,kittu__2003,2072396525,2072446906,
6134,AryanYadav888,,2072468206,
6138,Geetesh4782,,2072447489,
6139,cs24btech11060,2072371803,2072458288,
6188,Shubhra_02,2072381633,2072448691,
6201,akshitisgod,2072377724,,
6239,pankaj-154,,2072460444,
6256,Challa_Sai_Charan,,2072471029,
6284,amandeepc010,,2072471670,
6304,C0deX001,,2072472001,
6335,Devam_246,,2072462538,
6336,sreepranav44,,2072472611,
6397,pradeep__123,,2072463967,
6414,ankityadav02102,,2072443021,
6428,PvKQjnYmiu,,2072464599,
6436,Radhikagupta25,,2072443461,
6453,Anujmahore,2072484502,2072475035,
6463,diyoradev,,2072465322,
6506,ganeshib08,2072386890,2072476256,
6527,joeeoj973,,2072456496,
6534,Pandey_75,,2072476760,
6542,CodeBeast2208,,2072456760,
6550,Jhanvi_Barot,,2072477000,
6557,abhinav10905,,2072434753,
6569,vivekboga09,,2072467357,
