rank,user,Q2,Q3,Q4
8,jatinparashar18,,,2099713033
35,AzamK0417,2099706661,,
101,reetz30,,,2099757378
112,Ak45h_17,,,2099770407
134,safacodes67,2099713880,2099735235,2099761072
159,Pavanchowdary_1111,2099771158,2099776600,2099789457
196,HarshanAlagarsamy,,,2099789430
205,VishnuKumr,,,2099781558
231,Pratyush2524,2099788633,,
241,khusi_shaw,,2099809596,2099806541
269,PdgwM6htZP,,2099796104,2099808089
303,ykysoffers,,,2099816079
315,Tiku_Arnav,2099745007,2099761318,2099819158
318,Dipesh2103,,,2099776016
320,sujithkp,,2099761033,
384,soumyajitsantra,2099758688,,
389,jayant-07,2099751301,,2099839464
400,abhinavvvv08,,2099797525,
452,manjotpal22,,2099801452,2099813223
457,PrathamPaulOfficial,,,2099851904
459,ZrKECzVbxz,,2099809145,
469,prashantpiyush1111,,,2099799546
480,sharrohit,,,2099773206
486,sHJ5pnGDcD,2099727996,,
511,_dwivedi_praveen,,,2099853460
514,ranjanabhi3158,,2099838766,2099839784
520,22881A05H0,,2099830760,2099840842
527,nUCUAK85or,,2099808833,2099827669
529,amitkumar718,,2099858073,
549,8qDPiTmuJr,,,2099810277
557,Aaysha_sinha,,2099850740,2099847468
566,hello505,,2099839002,2099846540
572,Kurt_Sony,2099841167,2099844657,2099856745
585,Mindforge_Abhishek,2099777212,,
588,ratneshS0411,2099776509,2099815282,2099854466
597,KIRAN_REDDY_2006,,,2099834918
608,Maheshwari_2k,,2099856789,
642,karangill1810,,,2099835940
658,Aryan2510,,,2099846273
669,zk299,2099710118,2099716203,
672,deepanshusaxena,2099713601,,
703,snd_885,,2099726368,
729,who_shivam,,2099743043,
771,purnakunche,2099737527,,
772,daniltatar,2099711759,,
781,prakhara72,,2099750898,
786,viking05,2099704849,2099751528,
864,piyush_274,,2099749192,
915,Oey7XUeibm,2099747313,2099764472,
936,Roushan_k_nit_A,2099732159,2099745511,
947,KQkLZFoHsW,,2099746320,
953,g_varsha010207,,2099756739,
956,SAI_TEJA_5656,,2099766878,
1039,pawn_d4_200711,2099724307,2099762453,
1182,suraj_ku-mar1234,,2099780981,
1190,8pAUHTCJDf,2099755320,2099781168,
1216,agarkanishk,,2099782153,
1225,no-fame,2099755151,,
1255,Anushkaa_Sinha,2099738214,,
1258,aser9767,2099722591,2099784089,
1272,CodeWorm_369,2099765946,2099784556,
1277,MktFkXZAS2,2099736448,2099775273,
1292,Kinshuk_Gaurav,2099752441,2099785539,
1367,Ankitg7802,,2099779387,
1385,J_Gupta,2099731651,,
1387,The_Codestar,2099731560,2099760513,
1389,kaamilsiddiqi,2099746250,2099789464,
1488,nnssprasad,2099746703,2099792854,
1528,dk08,2099741596,,
1547,HariDev07,,2099785981,
1551,adityabhalgat81,,2099786145,
1558,AnmolKamath_07,2099729691,,
1577,likki__121,2099737716,2099757733,
1668,k_l_s_harsha,,2099770785,
1709,pYuGOfdeiX,2099766508,2099791157,
1733,sharmitha15,,2099800739,
1749,ImaSBFosVf,2099737929,2099773814,
1767,CapShijin,2099742065,,
1778,Lavanya_Gubbala,,2099784131,
1786,Adityaraj210711,2099785344,,
1792,ranjeet077,,2099802770,
