rank,user,Q2,Q3,Q4
8762,Dharani-Devi19,,2090743841,
8794,agrawal101,,2090765806,
8830,balajicit,,2090729426,
8847,patilprerna,,2090795204,
8865,Haripriya_burase,,2090803561,
8878,Nirav_27,,2090790976,
8903,somil_dhawan,,2090810505,
8918,Ujjwal_279,,2090796721,
8923,megaprasanthr,,2090829819,
8935,AzizReja,,2090832692,
8944,Aadi_Krishnatraya,,2090827247,
8965,karthikreddy10,,2090819226,
8971,rippanjyot11,,2090832261,
8973,gupta_apoorva,,2090834178,
8994,Aryan925,2090667826,,
