rank,user,Q2,Q3,Q4
2284,reethikapadi,2090191871,,
2328,ravi_931,2090188324,,
2332,guptakaran0720,2090203322,,
2339,p1ma7h98tf,,2090145195,
2340,Kavya_Sen_,2090203867,,
2354,priyanshkumar444,,2090199241,
2361,navin_5474,2090204938,2090176341,
2371,orio13,2090181573,2090226411,
2387,abishekgvincent,,2090236942,
2389,Harsh_Executor2604,,2090175666,
2393,saiprakash_nitt,2090171538,,
2414,ym07,2090146202,2090184312,
2420,Archit_Raizada,2090205667,,
2430,ashish_yadav23,2090211827,2090228402,
2434,aadii_raaz,2090173427,,
2445,deepesh_90,2090207693,,
2446,DhruvHooda,2090208399,,
2449,rmkishore,2090163936,,
2489,Abhav-arora,2090220423,,
2513,aaryanmeena96,2090200065,,
2523,Bitan_09,2090137758,,
2533,Ansh_Badresiya,,2090232170,
2547,pallebhargav0705,2090172195,2090232740,
2552,kickout9937,2090178680,,
2620,WemmRAnPg6,2090205042,,
2631,piyush9805,,2090216290,
2633,duru27397,2090217164,2090246850,
2635,MuditSatija,2090181667,,
2652,Abhishek_kr01,2090175341,2090237747,
2658,parthswami619,2090185662,,
2675,CodeAndCanvas06,2090207589,,
2681,princechatterjee2015,2090161939,2090218411,
2687,HardikKumar2005,2090210604,2090218949,
2697,divyam63,2090239687,,
2699,FID0mx6iDi,2090239768,,
2702,Krishna-24-24,2090161691,,
2720,Gurman_02_,2090175300,2090220489,
2729,rho_dev,2090230846,2090210477,
2745,arpyeeet,2090151679,2090221520,
2751,Shraddha350,2090188038,,
2754,iJEkZBasUZ,2090241942,,
2783,Katamanusree,2090211543,2090253042,
2873,yTCD2XSDNY,2090221638,,
2903,11AD12,2090238327,2090214117,
2923,takamora,2090239165,2090207920,
2953,anonymous_11798,2090188664,,
2956,Varun_Kushwah,,2090222728,
2957,gvjMVZaeyM,,2090260576,
3007,sakshiii_0307,2090189254,2090150164,
3015,reaper1356,2090232253,,
3038,nova_33,2090215227,,
3043,i_m_jotaman,2090243423,,
3077,Ishant2464,2090149976,,
3107,_s_242,2090257003,,
3122,akshit12_g,2090233342,2090237674,
3127,rizzshii,2090227752,2090222295,
3156,ro_hitkumar6958,2090204780,,
3163,sudhanshu_kumarrr,2090259667,,
3164,AkashdeepSingh_123,2090249605,,
3167,gssnikhil,2090142033,2090259907,
3172,deveshshukla,2090192654,,
3192,eren_yeager_,2090138672,,
3206,rounakdagar317,2090133021,,
3209,SHIVANSH_MISHRA00,2090262171,,
3216,avilasha2005,,2090166194,
3228,jairajx,2090182369,2090222415,
3240,RNl3YJqFhh,2090219427,,
3266,Lakan1686,2090234157,,
3276,Gold33,2090244479,,
3324,Jenish230,,2090237192,
3344,pranav_kulkarni1275,,2090238208,
3362,suryach29305,,2090249178,
3363,ManishBeast,2090249205,,
3371,john_duo,2090209114,2090198821,
3377,_numeroUno,,2090260326,
3386,presider_,2090198986,2090240531,
3390,Kishore_SSK,2090219268,,
3443,ms0930k,2090224287,,
3447,ankitsw,2090184954,2090192422,
3470,Rkings800,2090172712,2090236949,
3471,Satvik_Sinha_23,2090247020,2090237197,
3501,Himanshu_Samriya21,2090199956,,
3507,resident_of_India,2090179642,,
3517,Death_Shadow,2090261110,,
3521,anitalidev,,2090236080,
3534,thePiyushPriyadarshi,2090138189,,
3586,Vinay482003,2090257348,,
3588,mgoel29,2090237402,,
3604,rzcdyRGK1R,2090250118,,
3611,Nishat_Fatima25,,2090260913,
3624,shettycode,2090262578,,
3626,Arush-Srivastava,2090255490,,
3639,dev_pathak,2090253222,,
3657,IKUsMGVhZ7,2090254627,,
3690,shreyansh0749,2090260695,,
3712,shikhar_mutta_68,2090202117,,
3721,henil_moradiya,2090236192,,
3723,yuvansh2007,2090246646,,
3739,praneethexe1,,2090222238,
3741,harshad001,2090248462,,
3755,_anm_,,2090241195,
3775,tushar_696969,2090223707,,
3784,ban_ish,2090260879,,
3795,Yogesh88,,2090118675,
3798,sunseticewind,,2090262884,
3799,Prasad_34225,2090202875,,
3802,shriyansmohanty,2090201360,,
3835,nandhini_2323,,2090080960,
3856,umme_96,,2090089046,
3867,SNEHARTHA,,2090093642,
3903,sunkireddy-Barath,,2090102156,
3919,Radhikagupta25,,2090105511,
3929,Abijith_U,,2090107060,
3954,2EEwyv6rtJ,,2090109309,
4006,Mayank-05-old,,2090115566,
4037,savikanse,,2090118180,
4039,dhruvm1029,,2090118473,
4079,Prabhat_Sharma63,,2090122547,
4089,Jaydip06,,2090123493,
4095,ZzNmMozwgy,,2090124056,
4178,Blahh245,,2090129804,
4185,varsha_2007,,2090130398,
4212,Rohit_kumar_Yadav4OO4,,2090132031,
4250,kit2824bcb37,,2090121579,
4253,abubakarsiddiqi,,2090134026,
4259,V_S_POOVENDHIRAN,,2090134249,
4265,Ajaix_08,,2090134532,
4348,Varun_Singhal_2107,,2090138708,
4386,Vishujain_12,,2090140616,
4433,kusumasrivalli0203,,2090143013,
4465,tt3rbCNj0x,,2090144513,
4503,maadbohra,,2090146288,
4518,Prashantvk_18,,2090146807,
4568,Teja249,,2090149118,
4627,KdGiNPwmzv,,2090151933,
4630,ishita_agarwal_139,,2090152104,
4679,Ujjwal_279,,2090154452,
4685,North_07,,2090154603,
4699,amansoni45,,2090155363,
4717,MeatRidrrr,,2090155990,
4719,mohamedashif1911,,2090156003,
4727,shubh_gupta08,,2090156467,
4731,abhitarway,,2090156593,
4765,Krazeik,,2090157931,
4781,tanuja14,,2090159122,
4854,Anurag_pratap_017,,2090161680,
4856,Jayesh_Somani,,2090161846,
4906,HEERSHAH2510,,2090163828,
4915,anubhavshukla769,,2090164332,
4933,sil_user21,,2090165012,
4972,Akshaya_1105,,2090166255,
5019,Neha23_12,,2090168447,
5058,Prii_aani,,2090169520,
5066,samyakchheda000,,2090169792,
5112,Shravan_Kumar2357,,2090171927,
5115,_Achiever,,2090172004,
5119,Darth_Vader_01,,2090172175,
5141,MayanK17_06,,2090173116,
5164,aman_2309,,2090173915,
5165,manishmundel,,2090173939,
5168,Sudhanshu_Chauhan21,,2090161940,
5261,Rajat_Gupta1234,,2090177760,
5266,p3nu11timat3,,2090178107,
5305,Voda5vr23H,,2090155097,
5353,Kundan30,,2090181297,
5407,Tanmay_0408,,2090182936,
5419,kkumaraditya,,2090171346,
5433,asrithathota06,,2090183862,
5513,Naman_2004_7212,,2090186052,
5515,divysingh,,2090186058,
5518,RoSHAnI_rAi_,,2090186297,
5543,abhishith_999,,2090163184,
5661,arpitraj_29,,2090179150,
5673,shalinich1233,,2090167273,
5674,Daksh9543,,2090191022,
5697,NullPointerBro,,2090192088,
5709,mb1557,,2090180737,
5715,XuWZLzz5Tz,,2090150162,
5719,varsha_0508,,2090192712,
5766,umarzz,,2090193937,
5802,tanaychauhan772,,2090195015,
5826,armangupta11,,2090195533,
5833,sisodiyadivyapratap,,2090184130,
5883,tharun3906,,2090197445,
5889,vranshharma,,2090197579,
5915,Abhay_Rajput47,,2090198601,
5927,Anish_1818,,2090198998,
5936,MBekoIrqNs,,2090175980,
5963,WigBLTxK8G,,2090200259,
5964,ayush_raj0906,,2090188717,
5980,chaitanya_327,,2090200743,
6000,unknown5714,,2090178370,
6006,_aryan_agarwal_04,,2090201564,
6048,vedant501,,2090202705,
6081,venkatram_06,,2090203673,
6096,samarth_jaitly,,2090204361,
